run_id,model,data,latent_dim,lr,betas_0,gate_weight,recon_weight,tc_weight,fm_weight,elapsed_s,status,metric__zero_ratio_real,metric__zero_ratio_synthetic,metric__zero_ratio_diff,metric__mean_real,metric__mean_synthetic,metric__mean_diff,metric__std_real,metric__std_synthetic,metric__std_diff,metric__skewness_real,metric__skewness_synthetic,metric__skewness_diff,metric__kurtosis_real,metric__kurtosis_synthetic,metric__kurtosis_diff,metric__quantile_10_diff,metric__quantile_25_diff,metric__quantile_50_diff,metric__quantile_75_diff,metric__quantile_90_diff,metric__quantile_95_diff,metric__quantile_99_diff,metric__mean_quantile_diff,metric__autocorr_mae,metric__wasserstein_distance,metric__kl_divergence,metric__mmd,metric__ps,metric__ds,metric__lps,metric__lds
0,zits-gan,m5,64,0.0001,0.0,1.0,20.0,0.0,2.0,242.1,ok,0.5921944315899667,0.5557046575342466,0.03648977405572007,1.310631466863153,2.2573567123287672,0.9467252454656143,3.6336956717358913,2.665055832644502,0.9686398390913893,11.503374271991726,0.5512967944199835,10.952077477571743,284.5672229888064,-1.215714990245398,285.7829379790518,0.0,0.0,0.0,4.0,3.0,1.0,7.0,2.142857142857143,0.07738549991263734,3.0866994116981727,0.45661539354479386,0.0020000000417893524,1.3720450113892555,0.026000000000000023,1.3437163960278034,0.469
1,zits-gan,m5,128,0.0001,0.0,10.0,5.0,0.5,0.5,362.1,ok,0.5921944315899667,0.7340109589041096,0.14181652731414296,1.310631466863153,1.0718252054794521,0.23880626138370076,3.6336956717358913,2.1718535837327764,1.4618420880031149,11.503374271991726,2.1338267615506195,9.369547510441107,284.5672229888064,4.2720267869136554,280.29519620189274,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.2857142857142858,0.17125059329915576,1.8807109492116116,0.2298592737040152,0.002000007015852191,1.3156898120999336,0.0040000000000000036,1.3411138306498527,0.45799999999999996
2,zits-gan,m5,128,0.0002,0.0,10.0,5.0,0.0,1.0,342.2,ok,0.5921944315899667,0.7621654794520548,0.16997104786208816,1.310631466863153,1.0227534246575343,0.28787804220561863,3.6336956717358913,2.13858744368078,1.4951082280551113,11.503374271991726,2.0693086337393596,9.434065638252367,284.5672229888064,3.5847475332422603,280.98247545556416,0.0,0.0,0.0,1.0,2.0,0.0,7.0,1.4285714285714286,0.12708104261936998,2.2051005121046146,0.24864118776946975,0.0020000000000218207,1.333457691669464,0.0,1.369551480257511,0.44699999999999995
3,zits-gan,m5,64,0.0001,0.5,10.0,10.0,2.0,2.0,269.4,ok,0.5921944315899667,0.584265205479452,0.007929226110514609,1.310631466863153,8.219308493150685,6.908677026287531,3.6336956717358913,10.237446449785672,6.603750778049781,11.503374271991726,0.5687653307788204,10.934608941212906,284.5672229888064,-1.5047713056313794,286.0719942944378,0.0,0.0,0.0,19.0,21.0,18.0,9.0,9.571428571428571,0.07407645017129792,16.85737963396641,3.989984509934586,0.0020000000000005794,1.358477410811186,0.0,1.363428433674574,0.48450000000000004
4,zits-gan,m5,32,0.0001,0.0,1.0,10.0,0.0,2.0,242.7,ok,0.5921944315899667,0.5883638356164383,0.0038305959735283057,1.310631466863153,0.7041791780821918,0.6064522887809611,3.6336956717358913,1.0326524764945288,2.6010431952413624,11.503374271991726,1.9615001158242389,9.541874156167488,284.5672229888064,7.090903820471741,277.47631916833467,0.0,0.0,0.0,0.0,1.0,3.0,11.0,2.142857142857143,0.06324206388429805,1.5031801266129448,0.90780373123378,0.0020000000000038338,1.3722174837708474,0.0,1.3484246709942818,0.2965
5,zits-gan,m5,32,0.0002,0.0,5.0,10.0,0.5,2.0,404.7,ok,0.5921944315899667,0.6344772602739726,0.0422828286840059,1.310631466863153,1.6182531506849316,0.3076216838217787,3.6336956717358913,3.0727457313190407,0.5609499404168505,11.503374271991726,2.0698310707538212,9.433543201237905,284.5672229888064,3.188819002502746,281.3784039863037,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.5714285714285714,0.12324404572609664,1.945173841160707,0.5249643473744416,0.002000000105986448,1.3796086824655533,0.0,1.3468342937767506,0.45599999999999996
6,zits-gan,m5,128,0.0001,0.0,1.0,1.0,0.5,0.5,279.2,ok,0.5921944315899667,0.5680076712328768,0.024186760357089887,1.310631466863153,10.336940273972603,9.02630880710945,3.6336956717358913,11.866211453765429,8.232515782029537,11.503374271991726,0.27881429001214364,11.224559981979583,284.5672229888064,-1.920180566498052,286.48740355530447,0.0,0.0,0.0,23.0,21.0,18.0,9.0,10.142857142857142,0.07811761068486214,21.01534993134578,7.380689591527089,0.00200000000456548,1.3693336480855942,0.0,1.347456595659256,0.499
7,zits-gan,m5,64,5e-05,0.5,10.0,1.0,0.0,1.0,537.7,ok,0.5921944315899667,0.7376887671232877,0.14549433553332103,1.310631466863153,0.6236942465753424,0.6869372202878105,3.6336956717358913,1.206896396318404,2.426799275417487,11.503374271991726,2.2001273467974816,9.303246925194244,284.5672229888064,6.280823857088562,278.28639913171787,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.059106882433159126,1.3737842298977858,0.5180926126845539,0.0020000000230372015,1.391665966796875,0.14549999999999996,1.373359918475151,0.39749999999999996
8,zits-gan,m5,64,0.0001,0.5,10.0,10.0,2.0,1.0,242.2,ok,0.5921944315899667,0.5709408219178083,0.02125360967215839,1.310631466863153,0.7169232876712329,0.59370817919192,3.6336956717358913,1.0321880799890024,2.6015075917468886,11.503374271991726,2.158987596963999,9.344386675027728,284.5672229888064,10.050461111601736,274.51676187720466,0.0,0.0,0.0,0.0,1.0,3.0,11.0,2.142857142857143,0.06039917025672341,1.5429442259394406,0.5416007824396507,0.0020000000502201003,1.3492340576827526,0.0,1.363971265977621,0.32399999999999995
9,zits-gan,m5,32,0.0002,0.0,5.0,5.0,0.0,0.5,246.5,ok,0.5921944315899667,0.5882202739726028,0.00397415761736386,1.310631466863153,9.001432876712329,7.6908014098491755,3.6336956717358913,10.894638099392164,7.260942427656273,11.503374271991726,0.423076794874188,11.080297477117538,284.5672229888064,-1.7582627443646779,286.3254857331711,0.0,0.0,0.0,21.0,21.0,18.0,9.0,9.857142857142858,0.0799981275553642,18.946647843783733,7.514602270483243,0.0020000002780464063,1.3615678608715533,0.0,1.3668190094947814,0.49650000000000005
